title,company,city,salary,experience,education,tags,job_description,salary_low,salary_high,avg_salary_k,0-10k,10k-15k,15k-20k,20k-25k,25k+
Python算法开发,京北方,北京,1.5-2.5万,5-10年,本科,"Java, Python, Tornado, MySQL, Redis, OCR, AI","1. 负责OCR、AI项目的方案设计、模型开发、功能优化和测试部署工作；
2. 负责项目的文档撰写、联调测试以及实施上线，确保服务平稳运行；
3. 参与金融业务系统的需求分析以及项目方案设计；
4. 参与大模型应用项目。
5、以Pyhon为主
1、遵纪守法、诚实守信；
2、本科及以上学历，计算机、软件、电子信息类相关专业，5年以上工作经验；
4、熟悉Python编程语言，熟悉正则编写，熟练掌握至少一种主流web框架（Flask/Tornado等）；
5、熟练掌握Mysql数据库的使用及调优，熟悉redis、zookeeper、kafka中间件开发，熟悉docker、K8s；
6、扎实的计算机基础，熟悉Java，熟练掌握主流开源框架，了解SpringBoot、微服务、设计模式，具备良好的编码规范；
7、具备良好的沟通能力和技术学习能力，有较强的分析解决问题的能力，责任心强，有良好的团队协作精神，良好的抗压能力；
8、参与过大模型应用实施项目加分；
9、2年以上金融行业工作经验。",15.0,25.0,20.0,0.0,0.0,0.5,0.5,0.0
Java/C/C++/Python/JS 昇腾计算 接受无经验,外企德科数字技术有限公司,北京,1.6-3万·14薪,经验不限,本科,"C++, C, Python, JS, Java","面向全国研究所招聘，挂的是通用岗位JD，各种技术岗位都有哦！！！
业务技能要求：
1、掌握C/C++/Java/Python/JS等主流开发语言的一种，接受优秀应届生；
2、有Linux开发经验和Shell等脚本使用经验；了解常用的软件架构模式、基本的编程编译工具；
3、 具有良好的沟通能力，对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力。
专业知识要求：
1、信息系统/计算机/通讯等相关专业，本科及以上学历；
2、掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识；
4、熟悉大数据、虚拟化、数据库、安卓底层、开源社区运作等相关领域知识优先。

【福利】
入职全额缴纳六险一金，试用期薪资不打折，绩效双薪，每年两次绩效调薪机会，带薪年假，有班车和食堂，独立办公园区，转行转专业的同学也可以，试用期有大佬带教！
【工作时间】
每天早上9点上班，12：00-14：00午休2个小时；周一、周二、周四晚上6点吃完饭会工作到8:30下班，会提供免费的夜宵和班车，周三和周五晚上6点下班；平时周末是双休，月末最后一个周六会上班有加班费。",16.0,30.0,23.0,0.0,0.0,0.2857,0.3571,0.3571
【远程兼职】Python量化数据挖掘（不限专业）,世坤咨询(北京)有限公司,北京,2-3万·14薪,经验不限,本科,"Python, 机器学习, 深度学习, 量化研究","公司简介：
WorldQuant是一家全球性的量化资产管理公司，拥有超过70亿美元的资产管理规模。这家公司由Igor Tulchinsky在2007年创办，他坚信人才遍布全球，机遇一缘难求。目前WorldQuant在全球范围内设有26个办公室，拥有超过1000名员工，致力于在全球市场中针对各类资产开展投资策略。BRAIN平台与长期兼职开放
职位描述
1.【工作内容】WorldQuant BRAIN Consultant 数据特征兼职, 通过Python脚本运行模型，利用平台提供的数据、算力和API框架进行数据挖掘。平台提供免费培训，无需坐班随时随地都可完成，不影响正职工作。平台地址: https://platform.worldquantbrain.com
2.【任职资格】通过测试和简历审核后，提供完全免费线上和线下培训，无需担心没有量化金融背景，要求Python基础、有数据相关经验加分。完成培训提供证书，签署正式兼职合同，具有法律效力，付款有保障，不影响正职工作。具有较强的自学能力，有好奇心（非常重要）。喜欢接触和学习新的领域。如您当前在金融机构任职则不符合资格。
3.【薪资待遇】多劳多得，无最低提交要求。根据提交的数据挖掘数量和质量获得报酬。根据个人评级、提交数量质量和在岗时长等因素，每日获得津贴1-120美元不等。季度奖金根据个人评级、活跃天数等因素在100|200|2000|8000|25000美元不等。
4.【全职机会】根据个人评级和平台内表现，提供25年实习和全职的面试机会
5.【培训安排】
-线上基础免费培训：4月17日-28日，线上直播；每周一、周四，20:30-21:30
-线下小班进阶免费培训：待定
-线下培训城市（视届时人数情况暂定）：北京、上海、广州 等城市
6. 【申请方式】：在线投递简历即可",20.0,30.0,25.0,0.0,0.0,0.0,0.5,0.5
Python算法开发,京北方,北京,1.5-2.5万,5-10年,本科,"Java, Python, Tornado, MySQL, Redis, OCR, AI","1. 负责OCR、AI项目的方案设计、模型开发、功能优化和测试部署工作；
2. 负责项目的文档撰写、联调测试以及实施上线，确保服务平稳运行；
3. 参与金融业务系统的需求分析以及项目方案设计；
4. 参与大模型应用项目。
5、以Pyhon为主
1、遵纪守法、诚实守信；
2、本科及以上学历，计算机、软件、电子信息类相关专业，5年以上工作经验；
4、熟悉Python编程语言，熟悉正则编写，熟练掌握至少一种主流web框架（Flask/Tornado等）；
5、熟练掌握Mysql数据库的使用及调优，熟悉redis、zookeeper、kafka中间件开发，熟悉docker、K8s；
6、扎实的计算机基础，熟悉Java，熟练掌握主流开源框架，了解SpringBoot、微服务、设计模式，具备良好的编码规范；
7、具备良好的沟通能力和技术学习能力，有较强的分析解决问题的能力，责任心强，有良好的团队协作精神，良好的抗压能力；
8、参与过大模型应用实施项目加分；
9、2年以上金融行业工作经验。",15.0,25.0,20.0,0.0,0.0,0.5,0.5,0.0
Java/C/C++/Python/前端/测试（接受无经验）,外企德科数字技术有限公司,北京,1.6-3万,经验不限,本科,"固定年终, 周末加班双薪","接受考研，考公二战失败
[在招岗位]Java、C、C++、python、算法、测试、前端、大数据开发;
[福利待遇]
1、参与本部核心项目开发:
2、底薪(10-35K)+绩效(2-7K)+2-4个月年终(根据面试定级定薪);
3、试用期全薪，入职缴纳五险一金(全额):
4、可接受应届生或转行无经验，前半年P18以上导师带教;
5、每年1-2次升职调薪机会，有明确通道可转华为正编;
6、周末双休(可申请加班，双倍薪资)、免费健身房、免费向夜、免费下午茶、班车、各种团建、活动等福利

岗位要求:】
1、统招本科及以上学历，计算机、通信等相关专业优先，转行也可接受
2、熟悉掌握JAVA/C++/C/Python/JS/GO等其中一种编程语言;
3、具备独立工作能力和解决问题的能力、善于沟通合作，热衷新技术;
4、熟悉常用的算法和数据结构。
可选择部门：数存、数通、海思、2012、carbu、GTS、公共开发、光产品、计算、终病、绿通等。
[可支持地域]:杭州、南京、上海、苏州、深圳、东莞、广州、西安、成都、武汉、北京长沙,济南等多个华为研究所(支持远程线上面试，城市可自由选择);
[本轮招聘需求]:600人",16.0,30.0,23.0,0.0,0.0,0.2857,0.3571,0.3571
Python开发工程师,北京大麦无限信息科技有限公司,北京,1.2-2.2万,1-3年,本科,"Django, MySQL, MongoDB","核心职责：
1. 全流程开发：负责后端逻辑开发，包含接口设计、数据库操作及服务端脚本优化，确保高并发场景下的系统稳定性。
2. 框架应用：使用Django/Flask等主流框架搭建企业级应用，整合AI模型接口与业务系统。
3. 数据处理：结合Pandas/Numpy等库处理数据流，支持模型训练与业务分析需求。
4. 系统维护：持续优化代码性能，解决生产环境中的技术问题，并参与自动化部署（如Linux脚本编写）。
岗位要求：
本科以上计算机相关专业学历；
2年以上工作经验；
精通Python语法及面向对象编程，熟悉多线程、Socket等底层技术；
掌握MySQL/MongoDB数据库设计与优化，熟悉Redis缓存机制；
熟悉Git版本控制及CI/CD工具链，具备单元测试经验；
熟悉分布式系统开发（如Celery任务队列）或大数据处理工具（如PySpark）。",12.0,22.0,17.0,0.0,0.3,0.5,0.2,0.0
大数据Python开发,三才智者,北京,1.3-2万,3-5年,本科,PYTHON项目经历,"岗位职责：
1. 参与大数据采集、处理、转换、分析、业务需求等相关开发；
2. 参与大数据离线和实时开发，尤其是大数据实时计算相关开发；
任职要求：
1. 计算机相关专业本科及以上学历；
2. 熟悉Hadoop相关技术，包括Flink，Spark，Hive，Yarn，Kafka等，精通Flink开发的优先；
3. 熟练掌握java，精通SQL，熟悉shell等脚本语言，熟练使用git，jira等工具；
4. 优秀的分析问题和解决问题的能力，勇于解决难题；强烈的上进心和求知欲，较强的沟通表达能力与协作推进能力；
需要有python项目经历，有较强的编码能力",13.0,20.0,16.5,0.0,0.2857,0.7143,0.0,0.0
招java，python，c/c++，js。来投，发身份证,外企德科数字技术有限公司,北京,1.5-3万·14薪,经验不限,本科,"JavaScript, Python, C++, Spring, Mybatis, Vue, , , ","岗位： C/C++/Java/JS/Python/Go通用软件开发，软件测试，大数据开发，网络安全，运维开发，算法等
岗位要求：本科及以上学历，计算机、软件工程、通信等相关专业优先，转行，转专业可接受
一、软件开发工程师
1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；
2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；
二、软件测试工程师：
1. 热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底；
2.有web开发或测试经验、自动化开发或测试经验者优先。
3.熟练掌握系统测试、功能测试、专项测试、软件测试、韧性测试、安全测试方法中的一种或多种测试方法，有相关测试语言/脚本的编写和实践经验优先，也可接受纯测试经验的。
4.具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；
三、算法工程师：
1、熟练掌握Java/C/C++/Python其中一个或多个编程语言，有扎实的编程功底；
2、熟悉机器学习、深度学习或图像算法。
薪资福利：
1. 底薪+绩效+项目奖金+年终奖；
2. 缴纳社保及五险一金；
3.一年数次考评，薪资可上浮；
4.带薪年假5-15天，双休。
（机考：提供复习资料，每个环节 TIPS 辅导，通过率高！！直达面试！！！全程流程随时跟进可查, 一个部门不满意可转推不同部门）",15.0,30.0,22.5,0.0,0.0,0.3333,0.3333,0.3333
兼职大学人工智能/java/python专业讲师,昆明新小领人力资源有限公司,北京,9500-10000元,1-3年,本科,"课程教授, 深度学习, 机器学习, 搜索算法, 推荐算法, 语音算法, , , , , ","岗位职责：
1、按照教学大纲和教学计划，高质量地完成人工智能相关课程的授课任务。
2、设计并实施有效的教学方法，以激发学生的学习兴趣和积极性。
3、负责帮助学员解决学习过程中的问题，提供个性化的学习建议和指导。
4、参与教学大纲、教学文档、教学案例等教学材料的研发工作。
5、参与学术研讨会、讲座等活动，与同行交流学术成果和教学经验。
6、参与制定和完善人工智能专业的培养方案和教学计划。
岗位要求：
1、本科及以上学历，计算机科学、人工智能、数学、统计学、物理学等相关专业背景。
2、精通人工智能领域的基础理论和算法，如机器学习、深度学习、自然语言处理等。
3、熟练掌握Python等编程语言，熟悉算法和数据结构。
4、具有丰富的教学经验，能够灵活运用多种教学方法和手段，提高教学效果。
5、了解学生的学习特点和需求，能够为学生提供有针对性的指导和帮助。
6、热爱教育事业，具有良好的沟通技巧和团队合作精神。责任心强，执行力强，能够按时完成教学任务和相关工作。持续关注人工智能领域的发展动态，不断更新自己的知识和技能。
工作地点：甘肃天水、 河北唐山曹妃甸区、河北廊坊。
工作时间：按照课程排班，不需要留校，下课及走。",9.5,10.0,9.75,1.0,0.0,0.0,0.0,0.0
C/C++/JAVA/GO/JS/Python/IOS/安卓（北京，远程线上面试）,北海智强人力资源管理有限公司,北京,1.6-3万·14薪,经验不限,本科,"JavaScript, C++, CSS, Spring, MySQL, Oracle","岗位要求：
1、招聘Java/Go/Python/JS/C/C++等开发岗位。
2、经验不限（全程线上面试，不用现场面试，节省您宝贵的时间）
3、base：成都 深圳 杭州 北京 苏州 西安 上海 南京 广州 济南（均可）
福利待遇：
工作时间：5天工作制，弹性工作
保险保障：全额基数一档六险一金（养老+工伤+医疗+失业+生育+公积金+补充商业险）
有薪假期：带薪年假、病假、婚假、丧假、产假、陪产假、法定节假日等
节日福利：妇女节、端午节、中秋节、春节等精美礼品
各种奖励：季度评优奖，内推奖，项目奖，突出贡献奖，年终奖，
日常关怀：年度旅游、生日会、年度体检、加班补贴、咖啡、微波炉、电冰箱、防疫物资充足供应
员工成长：公司级培训提升你的行业知识，大牛级培训强化你的专业技能，外部培训助你拓宽知识面，内部导师传帮带等全方位关注员工在公司的成长
团队活动：旅游（年度、季度）、月度部门活动经费、部门聚餐、各种户外/体育活动等
团队氛围：年轻活跃的团队，自我驱动、学习成长、努力工作，快乐生活的管理模式",16.0,30.0,23.0,0.0,0.0,0.2857,0.3571,0.3571
前后端/算法（JAVA/C++/C/Python/JS/GO）猎,外企德科数字技术有限公司,北京,1.5-3万·14薪,经验不限,本科,"Python, C++, C","职位描述
【岗位福利】
1、工作时间：9:30-18:30午休2小时 周末双休（午休关灯，环境安静，独立宽大工位可自带折叠床。）
2、公司内部超级丰富的食堂，咖啡厅，便利店等全天免费健身房（有教练指导）环境优美超大园区，各种植物，天然氧吧一周两次的下午茶各类水果饮品小吃。 工作日每晚有免费的夜宵（水果酸奶面包小吃种类丰富）
3、全额社保五险一金，试用期薪资全额发放，加班双倍工资。
4、前六个月导师带教。
5、薪资范围广，具体薪资由面试决定。
6、岗位地点（上海、深圳、东莞、杭州、成都、西安、北京等）所在地区的研究所
【岗位要求】
1、面向群体：本科毕业生相关专业有相关工作经验优先（无专业限制，24应届生可以接受，空挡需澄清）
2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/GO等其中一种编程语言，有良好的编程习惯；
3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；
4、对数据结构、算法有一定了解；
【岗位职责】（全部门推荐，岗位较多，可【人岗匹配】）：前后端开发、AI大模型算法、自然语言处理、图像/语音/图形算法、大语言模型算法、数据挖掘、机器学习、测试开发等
在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：
前后端开发：负责软件系统设计、编码与优化，涉及分布式架构、云计算等领域，使用C/C++、Java、Python等语言开发核心功能模块，并参与性能调优和问题排查。
算法与大数据开发：聚焦广告推荐、风控模型、运营增长分析等场景，应用机器学习/深度学习算法进行数据挖掘与模型开发，同时设计BI报表及看板以提升业务效率，需熟练掌握Python、Hive/Spark SQL等工具。
软件测试：主导测试方案设计、用例编写及自动化脚本开发，执行功能与性能测试，跟踪缺陷修复，并参与测试工具创新以提升效率，要求熟悉黑/白盒测试方法及编程语言。
所有岗位均需具备扎实的编程能力、团队协作意识及问题解决能力，部分岗位需支持HarmonyOS等系统开发，共同目标是保障研发质量与技术落地
【部门介绍】
ICT/消费者/BPIT/CARBU/海思/产品数字化与IT装备部/2012实验室/云计算/数字能源/GTS/企业BG等",15.0,30.0,22.5,0.0,0.0,0.3333,0.3333,0.3333
AI Python开发工程师,北京清创智科科技有限公司,北京,1.5-2.5万,3-5年,本科,"NLP, Python, pytorch, TensorFlow, 深度学习框架","【工作内容】：
1、 参与基础NLP能力建设，如长/短文本分类、关键词挖掘、Embedding等相关技术；
2、负责NLP相关的算法设计、模型训练、模型调优、模型部署等；
3、参与LLM大模型垂直行业应用研发；
4、调研各种基础和前沿语言模型和NLP算法、研究跟踪NLP领域最新发展趋势。

【职位要求】：
1、拥有计算机、人工智能、机器学习等相关专业本科及以上学历；
2、具备良好的编程能力，熟练掌握Python，具备实际AI项目经验；
3、熟悉sklearn、nltk、jieba、PyTorch、TensorFlow等NLP库和深度学习开发框架，熟练掌握numpy、pandas等数据处理框架；
4、有NLP相关AI落地项目经验者优先；
5、有NLP大模型训练经验者优先，如BERT、 GPT等LLM等相关经验优先；
6、熟悉向量数据库、知识图谱优先。",15.0,25.0,20.0,0.0,0.0,0.5,0.5,0.0
测试（java 、shell、python某一脚本经验）,博彦科技承德有限公司,北京,8000-10000元,1-3年,大专,"PYTHON、SHELL脚本, JAVA脚本","1个HC，三个职级，面试定薪，薪资8000-9000-9500，百度科技园办公
岗位职责
-负责小度内部系统的测试工作
-参与优化开发流程、开发方式、客户端性能等
-新技术的调研及应用
任职资格
-对客户端测试有强烈的兴趣和追求，有app相关功能和性能测试经验
-熟悉使用常用软件，包括但不局限
adb、ddms、monkey、monkey runner、uiautomatorviewer等
-至少掌握一门服务器端编程语言，python，shell，java等
-熟悉adb常用操作
-能够接受重复的测试工作、快速的学习能力、稳定性
-有一定的安卓测试经验
-善于沟通，乐于分享",8.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0
Java/Python/C/C++/GO/算法/测试、数据开发,外企德科数字技术有限公司,北京,1.3-2.6万·14薪,经验不限,本科,,"1、统招 本科及以上学历;
2、熟悉Java/C/C++/Python/GO等任意一种主流开发语言，有相关工作经验优先;
3、热衷前沿技术的探索，能快速掌握和理解新技术;
4、有较强的学习能力、良好的团队协作能力、良好的沟通表达能力。部门亮点:
1、大平台，机会多。
2、岗位全，拼实力，设置前端、后端、开发、算法、AI、运维、安全等等岗位，你想要的，这里统统都有!
3、不内卷，不PUA，常年战斗在反卷反PUA的第一线，不苛求员工加量不加价的性价比，坚决贯彻落实多劳多得的指导方针，引导员工把精力聚焦在提高效率和自身成长上。
4、爱分享，氛围好，经常举行各领域技术分享会，可以和全球的架构专家、互联网大牛、大数据专家、网络安全大咖等面对面交流，兵合一处将打一家，部门之内皆兄弟，把酒言欢话桑麻。
5、肩并肩，手牵手，会给每位新员工分配1名技术导师，优秀的人培养更优秀的你。
工作城市：西安，深圳，成都，北京，上海、杭州、武汉、苏州、南京、济南、东莞、长沙等都可以选择。
职位福利：五险一金、绩效奖金、加班补助、弹性工作、周末双休、餐补、带薪年假、节日福利",13.0,26.0,19.5,0.0,0.1538,0.3846,0.3846,0.0769
python后端开发工程师,北京数创世纪软件技术有限公司,北京,1-1.5万,3-5年,本科,"Python, DJANGO，NGINX","1、精通Python语言，3年以上Python后端开发经验；
2、熟悉多线程，异步及高性能设计及开发；
3、熟练使用并理解常用Web开发框架和Web服务器，如Django，nginx；
4、熟悉SQL编程，SQL调优，熟练使用MySQL或者PostgreSQL，有项目开发经验；
5、责任心强，具备良好的沟通能力，优秀的团队协作能力和独立抗压能力；
6、有高并发访问Web应用开发经验者优先。",10.0,15.0,12.5,0.0,1.0,0.0,0.0,0.0
JAVA/ Python/C/C++/GO/数据开发,外企德科数字技术有限公司,北京,1.5-3万,经验不限,本科,"ARM处理器, C语言","1、立足公司AI昇腾等产品自研芯片，构建业界领先的跨处理器（CPU/NPU/SOC）底层软件平台，打造数字底座核心竞争力；
2、规划芯片新特性，负责芯片驱动软件的分析、设计和开发，支撑ICT及终端产品的高效部署；
3、与主流开源社区Maintainer协同，参与社区特性的开发。
业务技能要求：
1、有嵌入式软件开发调试经验；
2、熟悉Linux驱动设计和开发。
业务技能要求：
1、有嵌入式软件开发调试经验；
2、熟悉Linux驱动设计和开发。
专业知识要求：
1、掌握C/C++编程；
2、了解ARM处理器体系架构。",15.0,30.0,22.5,0.0,0.0,0.3333,0.3333,0.3333
